follower	followee	count
744635448912416768	842072478834909184	1
1078509551123644417	842072478834909184	1
1091939002662277121	842072478834909184	1
1075404629482106880	842072478834909184	1
50463605	842072478834909184	1
1091880782925320192	842072478834909184	1
14966186	842072478834909184	1
1090279629636755456	842072478834909184	1
758048923	842072478834909184	1
1077594843394854913	842072478834909184	1
1064833461566038016	842072478834909184	1
1041085022634172417	842072478834909184	1
795136858053349376	842072478834909184	1
1070386861204418560	842072478834909184	1
1091408634620362752	842072478834909184	1
2232096804	842072478834909184	1
1061823961389039616	842072478834909184	1
2926069883	842072478834909184	1
2767551883	842072478834909184	1
1091455157974589440	842072478834909184	1
17023509	842072478834909184	1
825034693837860865	842072478834909184	1
2195159322	842072478834909184	1
790205587858522112	842072478834909184	1
1086415973287165954	842072478834909184	1
2741755569	842072478834909184	1
1027277507148562433	842072478834909184	1
2629728975	842072478834909184	1
195279751	842072478834909184	1
1088342216857116672	842072478834909184	1
1040925128148889600	842072478834909184	1
1542631004	842072478834909184	1
1090008005935095810	842072478834909184	1
804684034429382656	842072478834909184	1
855190371046961152	842072478834909184	1
4889724411	842072478834909184	1
125162152	842072478834909184	1
421337750	842072478834909184	1
1052218505175564288	842072478834909184	1
793213538026258432	842072478834909184	1
1091518462373941249	842072478834909184	1
1056641279268937734	842072478834909184	1
49494915	842072478834909184	1
813738734638272517	842072478834909184	1
2347432298	842072478834909184	1
4631081772	842072478834909184	1
1090512740756742145	842072478834909184	1
970586412	842072478834909184	1
743604560900526086	842072478834909184	1
706964495	842072478834909184	1
1066399144565190656	842072478834909184	1
4864785324	842072478834909184	1
23151564	842072478834909184	1
2619163764	842072478834909184	1
1061258195996459009	842072478834909184	1
901055380184326145	842072478834909184	1
22399225	842072478834909184	1
1077781843888398337	842072478834909184	1
700687899	842072478834909184	1
3517001060	842072478834909184	1
3537353543	842072478834909184	1
958062332382498816	842072478834909184	1
238270722	842072478834909184	1
958508016692858880	842072478834909184	1
104838880	842072478834909184	1
1091026940209827845	842072478834909184	1
184949963	842072478834909184	1
3277545270	842072478834909184	1
1091411713906364418	842072478834909184	1
2160021248	842072478834909184	1
851425253335064576	842072478834909184	1
1686222030	842072478834909184	1
834098747655254016	842072478834909184	1
1091374749689831424	842072478834909184	1
3179578933	842072478834909184	1
1091385031900176384	842072478834909184	1
260814309	842072478834909184	1
2972936876	842072478834909184	1
747503631629488129	842072478834909184	1
1337667066	842072478834909184	1
15360760	842072478834909184	1
1042777866142806016	842072478834909184	1
484261474	842072478834909184	1
240091371	842072478834909184	1
1089196925906243584	842072478834909184	1
881811513186627584	842072478834909184	1
881590328167469057	842072478834909184	1
1090291492177002502	842072478834909184	1
482610343	842072478834909184	1
245464759	842072478834909184	1
103562850	842072478834909184	1
1052252362365112320	842072478834909184	1
83837068	842072478834909184	1
177436136	842072478834909184	1
406286659	842072478834909184	1
1086664746517086208	842072478834909184	1
3378260458	842072478834909184	1
1086952314089410560	842072478834909184	1
3722410105	842072478834909184	1
1091323156466413568	842072478834909184	1
1090919337240580096	842072478834909184	1
220811652	842072478834909184	1
1076920798986883073	842072478834909184	1
838484029	842072478834909184	1
2347551266	842072478834909184	1
1089350265512357888	842072478834909184	1
159499718	842072478834909184	1
52960100	842072478834909184	1
25656437	842072478834909184	1
1091134188982554624	842072478834909184	1
1034842224637423616	842072478834909184	1
1090811022586400769	842072478834909184	1
2771371209	842072478834909184	1
465628804	842072478834909184	1
879499113192095745	842072478834909184	1
865292060	842072478834909184	1
966281006	842072478834909184	1
1077322052179320833	842072478834909184	1
236627435	842072478834909184	1
753602082989408256	842072478834909184	1
114957832	842072478834909184	1
1061646658205818880	842072478834909184	1
